log,abstraction,theta,fallback,groups,kept,ari,homogeneity,completeness
hospital_billing,kappa,0.0,-,141,141,0.8699,0.999,0.6657
hospital_billing,kappa,0.01,nearest,9,9,0.8829,0.9871,0.7297
hospital_billing,kappa,0.02,nearest,7,7,0.8659,0.9328,0.7592
hospital_billing,kappa-multiset,0.0,-,140,140,0.8699,0.999,0.6657
hospital_billing,kappa-multiset,0.01,nearest,9,9,0.8829,0.9871,0.7297
hospital_billing,kappa-multiset,0.02,nearest,7,7,0.8658,0.9327,0.7591
hospital_billing,kappa-set,0.0,-,98,98,0.8701,0.999,0.6699
hospital_billing,kappa-set,0.01,nearest,9,9,0.8828,0.9871,0.7296
hospital_billing,kappa-set,0.02,nearest,7,7,0.8656,0.9327,0.7589
hospital_billing,kappa-acts,0.0,-,14,14,0.9493,0.999,0.8548
hospital_billing,kappa-acts,0.01,nearest,6,6,0.9548,0.9871,0.882
hospital_billing,kappa-acts,0.02,nearest,5,5,0.9284,0.9327,0.8988
road_traffic,kappa,0.0,-,44,44,0.0651,1.0,0.1124
road_traffic,kappa,0.01,nearest,5,5,0.0494,0.5763,0.0698
road_traffic,kappa,0.02,nearest,4,4,0.0222,0.2368,0.0302
road_traffic,kappa-multiset,0.0,-,32,32,0.0658,1.0,0.1188
road_traffic,kappa-multiset,0.01,nearest,4,4,0.0321,0.4552,0.0588
road_traffic,kappa-multiset,0.02,nearest,3,3,0.0044,0.1156,0.0158
road_traffic,kappa-set,0.0,-,19,19,0.0659,1.0,0.1197
road_traffic,kappa-set,0.01,nearest,4,4,0.0296,0.4624,0.0598
road_traffic,kappa-set,0.02,nearest,3,3,0.0019,0.1228,0.0168
road_traffic,kappa-acts,0.0,-,7,7,0.0435,0.5731,0.0954
road_traffic,kappa-acts,0.01,nearest,2,2,-0.0061,0.0117,0.0022
road_traffic,kappa-acts,0.02,nearest,2,2,-0.0061,0.0117,0.0022
