log,abstraction,theta,fallback,groups,kept,ari,homogeneity,completeness
servicedesk p=0.05,kappa,0.0,-,246,246,0.5911,1.0,0.4328
servicedesk p=0.05,kappa,0.01,nearest,4,4,1.0,1.0,1.0
servicedesk p=0.05,kappa,0.02,nearest,4,4,1.0,1.0,1.0
servicedesk p=0.05,kappa-multiset,0.0,-,227,227,0.62,1.0,0.45
servicedesk p=0.05,kappa-multiset,0.01,nearest,4,4,1.0,1.0,1.0
servicedesk p=0.05,kappa-multiset,0.02,nearest,4,4,1.0,1.0,1.0
servicedesk p=0.05,kappa-set,0.0,-,227,227,0.62,1.0,0.45
servicedesk p=0.05,kappa-set,0.01,nearest,4,4,1.0,1.0,1.0
servicedesk p=0.05,kappa-set,0.02,nearest,4,4,1.0,1.0,1.0
servicedesk p=0.05,kappa-acts,0.0,-,39,39,0.8375,1.0,0.6975
servicedesk p=0.05,kappa-acts,0.01,nearest,5,5,0.9846,1.0,0.9664
servicedesk p=0.05,kappa-acts,0.02,nearest,4,4,1.0,1.0,1.0
servicedesk p=0.1,kappa,0.0,-,427,427,0.305,1.0,0.3076
servicedesk p=0.1,kappa,0.01,nearest,4,4,0.9947,0.9916,0.9916
servicedesk p=0.1,kappa,0.02,nearest,4,4,0.9947,0.9916,0.9916
servicedesk p=0.1,kappa-multiset,0.0,-,382,382,0.3416,1.0,0.3226
servicedesk p=0.1,kappa-multiset,0.01,nearest,4,4,0.9947,0.9916,0.9916
servicedesk p=0.1,kappa-multiset,0.02,nearest,4,4,0.9947,0.9916,0.9916
servicedesk p=0.1,kappa-set,0.0,-,382,382,0.3416,1.0,0.3226
servicedesk p=0.1,kappa-set,0.01,nearest,4,4,0.9947,0.9916,0.9916
servicedesk p=0.1,kappa-set,0.02,nearest,4,4,0.9947,0.9916,0.9916
servicedesk p=0.1,kappa-acts,0.0,-,53,53,0.682,0.9986,0.5625
servicedesk p=0.1,kappa-acts,0.01,nearest,9,9,0.9012,0.9917,0.8282
servicedesk p=0.1,kappa-acts,0.02,nearest,4,4,0.9947,0.9916,0.9916
servicedesk p=0.2,kappa,0.0,-,697,697,0.061,1.0,0.2321
servicedesk p=0.2,kappa,0.01,nearest,4,4,0.9557,0.9466,0.9472
servicedesk p=0.2,kappa,0.02,nearest,4,4,0.9557,0.9466,0.9472
servicedesk p=0.2,kappa-multiset,0.0,-,646,646,0.0802,1.0,0.2394
servicedesk p=0.2,kappa-multiset,0.01,nearest,4,4,0.9634,0.9517,0.952
servicedesk p=0.2,kappa-multiset,0.02,nearest,4,4,0.9634,0.9517,0.952
servicedesk p=0.2,kappa-set,0.0,-,646,646,0.0802,1.0,0.2394
servicedesk p=0.2,kappa-set,0.01,nearest,4,4,0.9634,0.9517,0.952
servicedesk p=0.2,kappa-set,0.02,nearest,4,4,0.9634,0.9517,0.952
servicedesk p=0.2,kappa-acts,0.0,-,92,92,0.4558,0.9902,0.4366
servicedesk p=0.2,kappa-acts,0.01,nearest,22,22,0.5784,0.9788,0.5434
servicedesk p=0.2,kappa-acts,0.02,nearest,5,5,0.9202,0.944,0.8764
