log,seed,method,k,n_groups,ratio_to_k,ari,nmi,v_measure,purity,sig_per_variant,group_sig_entropy
running_example,0,global,3.0,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.625,1.91764536616001
running_example,0,kappa,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3326828654388538
running_example,0,kappa_supported,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3326828654388538
running_example,0,classical_variants,3.0,16,5.333333333333333,0.17593559563415384,0.3036875417060332,0.3036875417060332,0.7573333333333333,1.625,0.47483924954364815
running_example,0,translucent_variants,3.0,26,8.666666666666666,0.2853851747515968,0.5442834143018078,0.5442834143018078,1.0,1.0,0.0
running_example,0,cf_kmeans@k,3.0,3,1.0,0.141468395516308,0.2561017486838998,0.2561017486838998,0.5826666666666667,1.625,0.8875843064415273
running_example,0,cf_kmeans@auto,3.0,8,2.6666666666666665,0.3121244311097932,0.37780318723526374,0.3778031872352637,0.7573333333333333,1.625,0.4756309629900342
running_example,0,cf_ward@k,3.0,3,1.0,0.27700424848952904,0.37826472647506565,0.3782647264750656,0.67,1.625,0.7615287171979487
running_example,0,cf_ward@auto,3.0,8,2.6666666666666665,0.3121244311097932,0.37780318723526374,0.3778031872352637,0.7573333333333333,1.625,0.4756309629900342
running_example,0,ctx_kmeans@k,3.0,3,1.0,0.27700424848952904,0.37826472647506565,0.3782647264750656,0.67,1.625,0.7615287171979487
running_example,0,ctx_kmeans@auto,3.0,8,2.6666666666666665,0.3121244311097932,0.37780318723526374,0.3778031872352637,0.7573333333333333,1.625,0.4756309629900342
running_example,0,trace2vec@k,3.0,3,1.0,0.3237276442661167,0.3477841711584589,0.3477841711584589,0.634,1.1304347826086956,1.397282679240247
running_example,0,trace2vec@auto,3.0,2,0.6666666666666666,0.11275635393413899,0.17757667192692908,0.17757667192692908,0.4886666666666667,1.3,1.6437765161645959
running_example,0,enabled@k,3.0,3,1.0,0.6509767260205118,0.7455786163524487,0.7455786163524486,0.842,1.4444444444444444,0.30202828764501827
running_example,0,enabled@auto,3.0,4,1.3333333333333333,0.8697367986126338,0.9050185238877211,0.9050185238877211,1.0,1.0,0.0
running_example,0,attr_clean@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3326828654388538
running_example,0,attr_clean@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3326828654388538
running_example,0,attr_noisy@k,3.0,3,1.0,0.1543493526894636,0.202304844981627,0.202304844981627,0.488,1.0833333333333333,1.5468052570033821
running_example,0,attr_noisy@auto,3.0,5,1.6666666666666667,0.2217660240957059,0.34851063991077613,0.34851063991077613,0.6126666666666667,1.1304347826086956,1.2236516854841233
running_example,0,attr_all@k,3.0,3,1.0,0.40184111536026973,0.5254791049020733,0.5254791049020733,0.668,1.0833333333333333,1.1382931030901127
running_example,0,attr_all@auto,3.0,2,0.6666666666666666,0.571101573676681,0.733680436651211,0.733680436651211,0.6666666666666666,1.0833333333333333,0.9990242981582806
running_example,0,attr_oracle@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3326828654388538
running_example,0,attr_oracle@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3326828654388538
running_example_big,0,global,3.0,1,0.3333333333333333,0.0,0.0,0.0,0.3335,1.625,1.9184488919268603
running_example_big,0,kappa,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.33331982145590483
running_example_big,0,kappa_supported,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.33331982145590483
running_example_big,0,classical_variants,3.0,16,5.333333333333333,0.16960478525327702,0.29391695150174374,0.29391695150174374,0.74925,1.625,0.4813480562244657
running_example_big,0,translucent_variants,3.0,26,8.666666666666666,0.28369118906005747,0.5433887680974324,0.5433887680974323,1.0,1.0,0.0
running_example_big,0,cf_kmeans@k,3.0,3,1.0,0.11372840540533187,0.1797423002353566,0.1797423002353566,0.5045,1.625,1.5855936029798805
running_example_big,0,cf_kmeans@auto,3.0,8,2.6666666666666665,0.3036492475105225,0.36742449208789885,0.36742449208789885,0.74925,1.625,0.48139658146381553
running_example_big,0,cf_ward@k,3.0,3,1.0,0.2700380474894852,0.36976302762706503,0.36976302762706503,0.66475,1.625,0.7673299604069864
running_example_big,0,cf_ward@auto,3.0,8,2.6666666666666665,0.3036492475105225,0.36742449208789885,0.36742449208789885,0.74925,1.625,0.48139658146381553
running_example_big,0,ctx_kmeans@k,3.0,3,1.0,0.26972634540756857,0.36965384185199907,0.36965384185199907,0.669,1.625,0.7637887745589254
running_example_big,0,ctx_kmeans@auto,3.0,8,2.6666666666666665,0.47930042388175914,0.5234232355306668,0.5234232355306668,0.832,1.4444444444444444,0.45954348437053794
running_example_big,0,trace2vec@k,3.0,3,1.0,0.10377816434104926,0.17044184105876417,0.17044184105876417,0.51275,1.1818181818181819,1.4899676071398353
running_example_big,0,trace2vec@auto,3.0,3,1.0,0.10377816434104926,0.17044184105876417,0.17044184105876417,0.51275,1.1818181818181819,1.4899676071398353
running_example_big,0,enabled@k,3.0,3,1.0,0.6412466321754269,0.7404169222959723,0.7404169222959721,0.8345,1.0,0.30559490960633057
running_example_big,0,enabled@auto,3.0,4,1.3333333333333333,0.8693628729008943,0.9048109249605121,0.9048109249605121,1.0,1.0,0.0
running_example_big,0,attr_clean@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.33331982145590483
running_example_big,0,attr_clean@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.33331982145590483
running_example_big,0,attr_noisy@k,3.0,3,1.0,0.21315032869064449,0.2573362436353162,0.2573362436353162,0.582,1.0833333333333333,1.452208176671266
running_example_big,0,attr_noisy@auto,3.0,8,2.6666666666666665,0.18653677572710584,0.31692670137983386,0.31692670137983386,0.68425,1.0,1.082554543956943
running_example_big,0,attr_all@k,3.0,3,1.0,0.46144555775438484,0.6549227164337282,0.6549227164337282,0.66675,1.0833333333333333,0.9850343685928099
running_example_big,0,attr_all@auto,3.0,2,0.6666666666666666,0.5714897412565263,0.73376472327949,0.7337647232794899,0.66675,1.0833333333333333,0.9999797321838573
running_example_big,0,attr_oracle@k,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.33331982145590483
running_example_big,0,attr_oracle@auto,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.33331982145590483
k_view_k2,0,global,2.0,1,0.5,0.0,0.0,0.0,0.5,1.1666666666666667,2.2884512347945933
k_view_k2,0,kappa,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.2884512347945933
k_view_k2,0,kappa_supported,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.2884512347945933
k_view_k2,0,classical_variants,2.0,48,24.0,0.04932661665055566,0.21635663070872235,0.21635663070872238,0.90375,1.1666666666666667,0.101022986304387
k_view_k2,0,translucent_variants,2.0,56,28.0,0.07347482747345369,0.3212370934166158,0.3212370934166159,1.0,1.0,0.0
k_view_k2,0,cf_kmeans@k,2.0,2,1.0,-0.001027349109098156,0.00016239767149257804,0.00016239767149257804,0.5075,1.1666666666666667,2.282932148989418
k_view_k2,0,cf_kmeans@auto,2.0,8,4.0,0.03828501318303303,0.11301404779798416,0.11301404779798417,0.68125,1.1666666666666667,1.6207151167085272
k_view_k2,0,cf_ward@k,2.0,2,1.0,-0.0010963028374151348,0.00011276047474678722,0.00011276047474678722,0.50625,1.1666666666666667,2.2819863747418707
k_view_k2,0,cf_ward@auto,2.0,8,4.0,0.2315170970274151,0.3518189528374725,0.3518189528374725,0.90375,1.1666666666666667,1.0410448987973453
k_view_k2,0,ctx_kmeans@k,2.0,2,1.0,0.2543204074463226,0.34734435273722336,0.3473443527372233,0.7525,1.1666666666666667,1.5082505452230173
k_view_k2,0,ctx_kmeans@auto,2.0,4,2.0,0.6667691947893191,0.7165782902902591,0.7165782902902591,1.0,1.0,0.746210542005033
k_view_k2,0,trace2vec@k,2.0,2,1.0,0.814276014146166,0.7652495778991147,0.7652495778991147,0.95125,1.037037037037037,1.5535553489551175
k_view_k2,0,trace2vec@auto,2.0,2,1.0,0.814276014146166,0.7652495778991147,0.7652495778991147,0.95125,1.037037037037037,1.5535553489551175
k_view_k2,0,enabled@k,2.0,2,1.0,0.27755392775804005,0.3639520034139457,0.3639520034139456,0.76375,1.0,1.4943235468527591
k_view_k2,0,enabled@auto,2.0,7,3.5,0.583537081394941,0.6081890401287723,0.6081890401287722,1.0,1.0,0.0
k_view_k2,0,attr_clean@k,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.2884512347945933
k_view_k2,0,attr_clean@auto,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.2884512347945933
k_view_k2,0,attr_noisy@k,2.0,2,1.0,0.1304772059765452,0.123272267634888,0.123272267634888,0.68125,1.0980392156862746,2.2939603072483545
k_view_k2,0,attr_noisy@auto,2.0,8,4.0,0.136872371851209,0.25434833598945,0.25434833598945,0.82,1.0,1.6870077611652836
k_view_k2,0,attr_all@k,2.0,2,1.0,0.9603503958143379,0.9291252238549076,0.9291252238549076,0.99,1.0,1.356071878285337
k_view_k2,0,attr_all@auto,2.0,2,1.0,0.9603503958143379,0.9291252238549076,0.9291252238549076,0.99,1.0,1.356071878285337
k_view_k2,0,attr_oracle@k,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.2884512347945933
k_view_k2,0,attr_oracle@auto,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.2884512347945933
k_view_k3,0,global,3.0,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.1875,2.4439299905842184
k_view_k3,0,kappa,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.8589674898630623
k_view_k3,0,kappa_supported,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.8589674898630623
k_view_k3,0,classical_variants,3.0,48,16.0,0.37081536341484655,0.4075809826682181,0.4075809826682181,0.8933333333333333,1.1875,0.10161326664412666
k_view_k3,0,translucent_variants,3.0,57,19.0,0.45228274320050343,0.5294492328482718,0.5294492328482718,1.0,1.0,0.0
k_view_k3,0,cf_kmeans@k,3.0,3,1.0,0.16955139900023417,0.2221647054195066,0.22216470541950661,0.5441666666666667,1.1875,2.134650156900319
k_view_k3,0,cf_kmeans@auto,3.0,8,2.6666666666666665,0.32934689875922973,0.3829531209472649,0.3829531209472649,0.7491666666666666,1.1875,1.5105386475648492
k_view_k3,0,cf_ward@k,3.0,3,1.0,0.22306274846198498,0.30480908422833736,0.30480908422833736,0.58,1.1875,1.827642180396534
k_view_k3,0,cf_ward@auto,3.0,8,2.6666666666666665,0.327975421401008,0.45223373170966397,0.452233731709664,0.77,1.1875,1.114126608655242
k_view_k3,0,ctx_kmeans@k,3.0,3,1.0,0.1775837599126729,0.3524618747018279,0.3524618747018279,0.5533333333333333,1.1875,1.1978747578184477
