log,method,n_cases,n_models,models_to_cov,fitness,precision,generalization,simplicity,translucent_fitness,translucent_precision,f1,translucent_f1
running_example,global,1500,1,1,1.0,1.0,0.965,0.714,0.942,1.0,1.0,0.97
running_example,kappa,1500,3,3,1.0,1.0,0.944,0.831,1.0,1.0,1.0,1.0
running_example,kappa_supported,1500,3,3,1.0,1.0,0.944,0.831,1.0,1.0,1.0,1.0
running_example,kappa_identifier,1500,3,3,1.0,1.0,0.944,0.831,1.0,1.0,1.0,1.0
running_example,classical_variants,1500,16,11,1.0,1.0,0.907,1.0,0.875,1.0,1.0,0.933
running_example,translucent_variants,1500,26,21,1.0,1.0,0.877,1.0,0.875,1.0,1.0,0.933
running_example,cf_kmeans@k,1500,3,2,1.0,1.0,0.948,0.807,0.933,1.0,1.0,0.965
running_example,cf_kmeans@auto,1500,8,6,1.0,1.0,0.925,1.0,0.925,1.0,1.0,0.961
running_example,cf_ward@k,1500,3,3,1.0,1.0,0.945,0.851,0.942,1.0,1.0,0.97
running_example,cf_ward@auto,1500,8,6,1.0,1.0,0.925,1.0,0.925,1.0,1.0,0.961
running_example,ctx_kmeans@k,1500,3,3,1.0,1.0,0.945,0.851,0.942,1.0,1.0,0.97
running_example,ctx_kmeans@auto,1500,8,6,1.0,1.0,0.925,1.0,0.925,1.0,1.0,0.961
running_example,trace2vec@k,1500,3,3,1.0,0.883,0.939,0.714,0.926,0.958,0.938,0.942
running_example,trace2vec@auto,1500,2,2,1.0,0.944,0.951,0.714,0.942,1.0,0.971,0.97
running_example,enabled@k,1500,3,3,1.0,1.0,0.945,0.852,0.983,1.0,1.0,0.992
running_example,enabled@auto,1500,4,4,1.0,1.0,0.936,0.852,0.983,1.0,1.0,0.992
running_example,attr_clean@k,1500,3,3,1.0,1.0,0.944,0.831,1.0,1.0,1.0,1.0
running_example,attr_clean@auto,1500,3,3,1.0,1.0,0.944,0.831,1.0,1.0,1.0,1.0
running_example,attr_noisy@k,1500,3,3,1.0,0.952,0.935,0.739,0.953,1.0,0.976,0.976
running_example,attr_noisy@auto,1500,5,5,1.0,0.843,0.92,0.764,0.95,0.994,0.915,0.971
running_example,attr_all@k,1500,3,3,1.0,0.953,0.94,0.747,0.963,1.0,0.976,0.981
running_example,attr_all@auto,1500,2,2,1.0,1.0,0.951,0.757,0.967,1.0,1.0,0.983
running_example,attr_oracle@k,1500,3,3,1.0,1.0,0.944,0.831,1.0,1.0,1.0,1.0
running_example,attr_oracle@auto,1500,3,3,1.0,1.0,0.944,0.831,1.0,1.0,1.0,1.0
running_example_big,global,4000,1,1,1.0,1.0,0.979,0.714,0.942,1.0,1.0,0.97
running_example_big,kappa,4000,3,3,1.0,1.0,0.966,0.831,1.0,1.0,1.0,1.0
running_example_big,kappa_supported,4000,3,3,1.0,1.0,0.966,0.831,1.0,1.0,1.0,1.0
running_example_big,kappa_identifier,4000,3,3,1.0,1.0,0.966,0.831,1.0,1.0,1.0,1.0
running_example_big,classical_variants,4000,16,11,1.0,1.0,0.943,1.0,0.875,1.0,1.0,0.933
running_example_big,translucent_variants,4000,26,21,1.0,1.0,0.925,1.0,0.875,1.0,1.0,0.933
running_example_big,cf_kmeans@k,4000,3,3,1.0,1.0,0.969,0.808,0.904,1.0,1.0,0.95
running_example_big,cf_kmeans@auto,4000,8,6,1.0,1.0,0.954,1.0,0.925,1.0,1.0,0.961
running_example_big,cf_ward@k,4000,3,3,1.0,1.0,0.966,0.852,0.946,1.0,1.0,0.972
running_example_big,cf_ward@auto,4000,8,6,1.0,1.0,0.954,1.0,0.925,1.0,1.0,0.961
running_example_big,ctx_kmeans@k,4000,3,3,1.0,1.0,0.966,0.852,0.942,1.0,1.0,0.97
running_example_big,ctx_kmeans@auto,4000,8,6,1.0,1.0,0.951,0.989,0.929,1.0,1.0,0.963
running_example_big,trace2vec@k,4000,3,3,1.0,0.868,0.962,0.722,0.922,0.956,0.929,0.939
running_example_big,trace2vec@auto,4000,3,3,1.0,0.868,0.962,0.722,0.922,0.956,0.929,0.939
running_example_big,enabled@k,4000,3,3,1.0,1.0,0.966,0.82,0.975,1.0,1.0,0.987
running_example_big,enabled@auto,4000,4,4,1.0,1.0,0.961,0.852,0.983,1.0,1.0,0.992
running_example_big,attr_clean@k,4000,3,3,1.0,1.0,0.966,0.831,1.0,1.0,1.0,1.0
running_example_big,attr_clean@auto,4000,3,3,1.0,1.0,0.966,0.831,1.0,1.0,1.0,1.0
running_example_big,attr_noisy@k,4000,3,3,1.0,0.886,0.963,0.714,0.942,1.0,0.94,0.97
running_example_big,attr_noisy@auto,4000,8,7,1.0,0.851,0.942,0.804,0.924,0.974,0.92,0.949
running_example_big,attr_all@k,4000,3,3,1.0,0.973,0.965,0.757,0.967,1.0,0.986,0.983
running_example_big,attr_all@auto,4000,2,2,1.0,1.0,0.97,0.757,0.967,1.0,1.0,0.983
running_example_big,attr_oracle@k,4000,3,3,1.0,1.0,0.966,0.831,1.0,1.0,1.0,1.0
running_example_big,attr_oracle@auto,4000,3,3,1.0,1.0,0.966,0.831,1.0,1.0,1.0,1.0
k_view_k2,global,800,1,1,1.0,1.0,0.954,0.667,0.942,1.0,1.0,0.97
k_view_k2,kappa,800,2,2,1.0,1.0,0.934,0.722,1.0,1.0,1.0,1.0
k_view_k2,kappa_supported,800,2,2,1.0,1.0,0.934,0.722,1.0,1.0,1.0,1.0
k_view_k2,kappa_identifier,800,2,2,1.0,1.0,0.934,0.722,1.0,1.0,1.0,1.0
k_view_k2,classical_variants,800,48,33,1.0,1.0,0.784,1.0,0.821,1.0,1.0,0.902
k_view_k2,translucent_variants,800,56,41,1.0,1.0,0.76,1.0,0.821,1.0,1.0,0.902
k_view_k2,cf_kmeans@k,800,2,2,1.0,1.0,0.938,0.714,0.903,1.0,1.0,0.949
k_view_k2,cf_kmeans@auto,800,8,7,1.0,0.847,0.876,0.764,0.879,1.0,0.917,0.935
k_view_k2,cf_ward@k,800,2,2,1.0,0.917,0.928,0.667,0.942,1.0,0.957,0.97
k_view_k2,cf_ward@auto,800,8,6,1.0,0.924,0.889,0.816,0.932,1.0,0.961,0.965
k_view_k2,ctx_kmeans@k,800,2,2,1.0,1.0,0.937,0.714,0.926,1.0,1.0,0.961
k_view_k2,ctx_kmeans@auto,800,4,4,1.0,1.0,0.912,0.758,0.967,1.0,1.0,0.983
k_view_k2,trace2vec@k,800,2,2,1.0,0.82,0.935,0.676,0.892,0.908,0.901,0.9
k_view_k2,trace2vec@auto,800,2,2,1.0,0.82,0.935,0.676,0.892,0.908,0.901,0.9
k_view_k2,enabled@k,800,2,2,1.0,0.598,0.941,0.649,0.767,0.69,0.748,0.726
k_view_k2,enabled@auto,800,7,6,1.0,1.0,0.887,0.778,0.942,1.0,1.0,0.97
k_view_k2,attr_clean@k,800,2,2,1.0,1.0,0.934,0.722,1.0,1.0,1.0,1.0
k_view_k2,attr_clean@auto,800,2,2,1.0,1.0,0.934,0.722,1.0,1.0,1.0,1.0
k_view_k2,attr_noisy@k,800,2,2,1.0,0.927,0.934,0.667,0.942,1.0,0.962,0.97
k_view_k2,attr_noisy@auto,800,8,7,1.0,0.654,0.849,0.681,0.87,0.911,0.791,0.89
k_view_k2,attr_all@k,800,2,2,1.0,0.79,0.931,0.676,0.913,0.924,0.883,0.918
