log,sweep,value,method,ari,n_groups
running_example,noise,0.0,kappa,1.0,3.0
running_example,noise,0.0,clustering_mean,0.3249359184630377,
running_example,noise,0.0,clustering_best,0.6441843558597302,
running_example,noise,0.05,kappa,0.7254105865018733,98.0
running_example,noise,0.05,clustering_mean,0.30564834214991426,
running_example,noise,0.05,clustering_best,0.546684677223586,
running_example,noise,0.1,kappa,0.4735502533574016,162.0
running_example,noise,0.1,clustering_mean,0.30150598966257247,
running_example,noise,0.1,clustering_best,0.5719618540229828,
running_example,noise,0.2,kappa,0.19073145121674717,297.0
running_example,noise,0.2,clustering_mean,0.33987513762106675,
running_example,noise,0.2,clustering_best,0.47283885856515717,
running_example,noise,0.3,kappa,0.07241185980943868,481.0
running_example,noise,0.3,clustering_mean,0.34020248000249015,
running_example,noise,0.3,clustering_best,0.44494546657550244,
running_example,noise,0.4,kappa,0.026797583986704735,648.0
running_example,noise,0.4,clustering_mean,0.3678631433266446,
running_example,noise,0.4,clustering_best,0.45727070394071734,
running_example,size,100.0,kappa,1.0,3.0
running_example,size,100.0,clustering_mean,0.3357666345240698,
running_example,size,100.0,clustering_best,0.5765104460756634,
running_example,size,300.0,kappa,1.0,3.0
running_example,size,300.0,clustering_mean,0.33133611962051895,
running_example,size,300.0,clustering_best,0.6336916772225518,
running_example,size,1000.0,kappa,1.0,3.0
running_example,size,1000.0,clustering_mean,0.3283053035902469,
running_example,size,1000.0,clustering_best,0.6490997165185166,
running_example,size,3000.0,kappa,1.0,3.0
running_example,size,3000.0,clustering_mean,0.3293601936893345,
running_example,size,3000.0,clustering_best,0.6410616699956619,
k_view_k4,noise,0.0,kappa,1.0,4.0
k_view_k4,noise,0.0,clustering_mean,0.5951505872844401,
k_view_k4,noise,0.0,clustering_best,0.7747627943633413,
k_view_k4,noise,0.05,kappa,0.7519340693916188,92.0
k_view_k4,noise,0.05,clustering_mean,0.5404886113163127,
k_view_k4,noise,0.05,clustering_best,0.7023536234670564,
k_view_k4,noise,0.1,kappa,0.5333023832827729,160.0
k_view_k4,noise,0.1,clustering_mean,0.5348220667675868,
k_view_k4,noise,0.1,clustering_best,0.8262154512398753,
k_view_k4,noise,0.2,kappa,0.3044547169584167,255.0
k_view_k4,noise,0.2,clustering_mean,0.5548927686899786,
k_view_k4,noise,0.2,clustering_best,0.7432657284286676,
k_view_k4,noise,0.3,kappa,0.1369198010015494,351.0
k_view_k4,noise,0.3,clustering_mean,0.5964079279924611,
k_view_k4,noise,0.3,clustering_best,0.8065655063408189,
k_view_k4,noise,0.4,kappa,0.07924195194198001,453.0
k_view_k4,noise,0.4,clustering_mean,0.5836474013979882,
k_view_k4,noise,0.4,clustering_best,0.7912808047064043,
k_view_k4,size,100.0,kappa,1.0,4.0
k_view_k4,size,100.0,clustering_mean,0.496495159172175,
k_view_k4,size,100.0,clustering_best,0.6277776962905379,
k_view_k4,size,300.0,kappa,1.0,4.0
k_view_k4,size,300.0,clustering_mean,0.5022781528555005,
k_view_k4,size,300.0,clustering_best,0.6267323784563009,
k_view_k4,size,1000.0,kappa,1.0,4.0
k_view_k4,size,1000.0,clustering_mean,0.5837903237072132,
k_view_k4,size,1000.0,clustering_best,0.7593350999759094,
k_view_k4,size,3000.0,kappa,1.0,4.0
k_view_k4,size,3000.0,clustering_mean,0.5950968464434963,
k_view_k4,size,3000.0,clustering_best,0.6986297562190305,
