seed,noise,noise_mode,realised_noise,n_added,n_dropped,method,k,n_groups,n_models,ari,nmi,v_measure,homogeneity,completeness,purity,fitness,precision,f1,generalization,simplicity,translucent_fitness,translucent_precision,translucent_f1
0,0.0,balanced,0.0,0,0,global,4,1,1,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.316,0.48,0.951,0.623,0.615,0.524,0.566
0,0.0,balanced,0.0,0,0,kappa,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.922,0.827,1.0,1.0,1.0
0,0.0,balanced,0.0,0,0,kappa_supported,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.922,0.827,1.0,1.0,1.0
0,0.0,balanced,0.0,0,0,classical_variants,4,94,94,0.223,0.496,0.496,0.8796988812289195,0.3456381146790581,0.926,1.0,1.0,1.0,0.756,1.0,0.904,1.0,0.949
0,0.0,balanced,0.0,0,0,translucent_variants,4,96,96,0.269,0.546,0.546,0.9999999999999997,0.37517181512813635,1.0,1.0,1.0,1.0,0.748,1.0,0.904,1.0,0.949
0,0.0,balanced,0.0,0,0,cf_kmeans@k,4,4,4,0.629,0.8,0.8,0.75,0.8571654707408838,0.75,1.0,0.999,1.0,0.92,0.769,0.97,1.0,0.985
0,0.0,balanced,0.0,0,0,cf_kmeans@auto,4,2,2,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,1.0,0.6,0.75,0.939,0.675,0.836,0.797,0.816
0,0.0,balanced,0.0,0,0,cf_ward@k,4,4,4,0.645,0.807,0.807,0.75,0.8745279727357992,0.75,1.0,1.0,1.0,0.922,0.771,0.971,1.0,0.985
0,0.0,balanced,0.0,0,0,cf_ward@auto,4,2,2,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,1.0,0.6,0.75,0.939,0.675,0.836,0.797,0.816
0,0.0,balanced,0.0,0,0,ctx_kmeans@k,4,4,4,0.631,0.801,0.801,0.7499999999999999,0.8591964334506695,0.75,1.0,1.0,1.0,0.919,0.766,0.97,1.0,0.985
0,0.0,balanced,0.0,0,0,ctx_kmeans@auto,4,3,3,0.714,0.857,0.857,0.75,1.0,0.75,1.0,1.0,1.0,0.927,0.76,0.977,1.0,0.988
0,0.0,balanced,0.0,0,0,trace2vec@k,4,4,4,0.763,0.826,0.826,0.814346468665248,0.8381174371454246,0.89,1.0,0.896,0.945,0.907,0.774,0.961,0.933,0.947
0,0.0,balanced,0.0,0,0,trace2vec@auto,4,2,2,0.499,0.667,0.667,0.5,1.0,0.5,1.0,0.896,0.945,0.935,0.719,0.934,0.926,0.93
0,0.0,balanced,0.0,0,0,enabled@k,4,4,4,0.629,0.8,0.8,0.75,0.8572333302805163,0.75,1.0,1.0,1.0,0.919,0.769,0.97,1.0,0.985
0,0.0,balanced,0.0,0,0,enabled@auto,4,3,3,0.714,0.857,0.857,0.75,1.0,0.75,1.0,1.0,1.0,0.927,0.76,0.977,1.0,0.988
0,0.0,balanced,0.0,0,0,attr_clean@k,4,4,4,0.997,0.995,0.995,0.995294319561939,0.9952971913902416,0.999,1.0,0.972,0.986,0.894,0.819,0.994,0.992,0.993
0,0.0,balanced,0.0,0,0,attr_clean@auto,4,3,3,0.712,0.852,0.852,0.745795042355529,0.9937337660337521,0.75,1.0,0.868,0.93,0.902,0.777,0.951,0.919,0.934
0,0.0,balanced,0.0,0,0,attr_noisy@k,4,4,4,0.108,0.17,0.17,0.16051879360331842,0.18085493232785574,0.422,1.0,0.331,0.498,0.906,0.635,0.671,0.59,0.628
0,0.0,balanced,0.0,0,0,attr_noisy@auto,4,8,8,0.336,0.404,0.404,0.4805145086789271,0.348234781842555,0.71,1.0,0.425,0.597,0.853,0.651,0.791,0.718,0.753
0,0.0,balanced,0.0,0,0,attr_all@k,4,4,4,0.39,0.552,0.552,0.4907973834756703,0.6305490680867534,0.651,1.0,0.583,0.736,0.917,0.675,0.829,0.775,0.801
0,0.0,balanced,0.0,0,0,attr_all@auto,4,2,2,0.332,0.571,0.571,0.4017268265521341,0.9884290051944064,0.5,1.0,0.652,0.789,0.911,0.675,0.831,0.783,0.807
0,0.0,balanced,0.0,0,0,attr_oracle@k,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.922,0.827,1.0,1.0,1.0
0,0.0,balanced,0.0,0,0,attr_oracle@auto,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.922,0.827,1.0,1.0,1.0
0,0.0,balanced,0.0,0,0,kappa_identifier,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.922,0.827,1.0,1.0,1.0
0,0.05,balanced,0.04575,308,58,global,4,1,1,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.363,0.532,0.947,0.639,0.651,0.773,0.706
0,0.05,balanced,0.04575,308,58,kappa,4,246,246,0.591,0.604,0.604,0.9999999999999997,0.4327523121630631,1.0,1.0,0.82,0.901,0.662,0.835,0.912,0.934,0.923
0,0.05,balanced,0.04575,308,58,kappa_supported,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979,0.989,0.921,0.823,0.982,0.985,0.983
0,0.05,balanced,0.04575,308,58,classical_variants,4,95,95,0.222,0.495,0.495,0.8756637044860943,0.34507291069098434,0.92,1.0,0.992,0.996,0.756,1.0,0.899,1.0,0.947
0,0.05,balanced,0.04575,308,58,translucent_variants,4,383,383,0.141,0.443,0.443,1.0,0.2848673466486118,1.0,1.0,1.0,1.0,0.498,1.0,0.897,1.0,0.946
0,0.05,balanced,0.04575,308,58,cf_kmeans@k,4,4,4,0.692,0.784,0.784,0.7419065049062825,0.830516921846976,0.812,1.0,0.934,0.966,0.914,0.765,0.942,0.964,0.953
