log,n_cases,n_traces,method,seconds
running_example,250,26,kappa,0.001
running_example,250,26,cf_kmeans@k,0.0094
running_example,250,26,cf_ward@k,0.0007
running_example,250,26,ctx_kmeans@k,0.0107
running_example,250,26,enabled@k,0.0112
running_example,250,26,trace2vec@k,0.0809
running_example,500,26,kappa,0.0017
running_example,500,26,cf_kmeans@k,0.009
running_example,500,26,cf_ward@k,0.0006
running_example,500,26,ctx_kmeans@k,0.0085
running_example,500,26,enabled@k,0.0091
running_example,500,26,trace2vec@k,0.0834
running_example,1000,26,kappa,0.0012
running_example,1000,26,cf_kmeans@k,0.0087
running_example,1000,26,cf_ward@k,0.0005
running_example,1000,26,ctx_kmeans@k,0.0084
running_example,1000,26,enabled@k,0.0084
running_example,1000,26,trace2vec@k,0.0839
running_example,2000,26,kappa,0.0012
running_example,2000,26,cf_kmeans@k,0.0084
running_example,2000,26,cf_ward@k,0.0006
running_example,2000,26,ctx_kmeans@k,0.0082
running_example,2000,26,enabled@k,0.0078
running_example,2000,26,trace2vec@k,0.0845
running_example,4000,26,kappa,0.0012
running_example,4000,26,cf_kmeans@k,0.0095
running_example,4000,26,cf_ward@k,0.0006
running_example,4000,26,ctx_kmeans@k,0.0084
running_example,4000,26,enabled@k,0.0082
running_example,4000,26,trace2vec@k,0.0858
k_view_k4,248,44,kappa,0.0023
k_view_k4,248,44,cf_kmeans@k,0.0087
k_view_k4,248,44,cf_ward@k,0.0008
k_view_k4,248,44,ctx_kmeans@k,0.0094
k_view_k4,248,44,enabled@k,0.0091
k_view_k4,248,44,trace2vec@k,0.1058
k_view_k4,500,52,kappa,0.0025
k_view_k4,500,52,cf_kmeans@k,0.0092
k_view_k4,500,52,cf_ward@k,0.001
k_view_k4,500,52,ctx_kmeans@k,0.0095
k_view_k4,500,52,enabled@k,0.0092
k_view_k4,500,52,trace2vec@k,0.1095
k_view_k4,1000,57,kappa,0.0027
k_view_k4,1000,57,cf_kmeans@k,0.0105
k_view_k4,1000,57,cf_ward@k,0.001
k_view_k4,1000,57,ctx_kmeans@k,0.0101
k_view_k4,1000,57,enabled@k,0.0089
k_view_k4,1000,57,trace2vec@k,0.1219
k_view_k4,2000,58,kappa,0.0027
k_view_k4,2000,58,cf_kmeans@k,0.0092
k_view_k4,2000,58,cf_ward@k,0.001
k_view_k4,2000,58,ctx_kmeans@k,0.0098
k_view_k4,2000,58,enabled@k,0.009
k_view_k4,2000,58,trace2vec@k,0.1185
k_view_k4,4000,58,kappa,0.0024
k_view_k4,4000,58,cf_kmeans@k,0.0116
k_view_k4,4000,58,cf_ward@k,0.001
k_view_k4,4000,58,ctx_kmeans@k,0.0119
k_view_k4,4000,58,enabled@k,0.0105
k_view_k4,4000,58,trace2vec@k,0.1204
parallel_choices,250,183,kappa,0.0172
parallel_choices,250,183,cf_kmeans@k,0.0141
parallel_choices,250,183,cf_ward@k,0.0038
parallel_choices,250,183,ctx_kmeans@k,0.0187
parallel_choices,250,183,enabled@k,0.0135
parallel_choices,250,183,trace2vec@k,0.2495
parallel_choices,500,275,kappa,0.025
parallel_choices,500,275,cf_kmeans@k,0.023
parallel_choices,500,275,cf_ward@k,0.0084
parallel_choices,500,275,ctx_kmeans@k,0.0299
parallel_choices,500,275,enabled@k,0.0175
parallel_choices,500,275,trace2vec@k,0.3485
parallel_choices,1000,395,kappa,0.0343
parallel_choices,1000,395,cf_kmeans@k,0.0254
parallel_choices,1000,395,cf_ward@k,0.0095
parallel_choices,1000,395,ctx_kmeans@k,0.0345
parallel_choices,1000,395,enabled@k,0.0211
parallel_choices,1000,395,trace2vec@k,0.5248
parallel_choices,2000,535,kappa,0.0543
parallel_choices,2000,535,cf_kmeans@k,0.046
parallel_choices,2000,535,cf_ward@k,0.0195
parallel_choices,2000,535,ctx_kmeans@k,0.0546
parallel_choices,2000,535,enabled@k,0.0328
parallel_choices,2000,535,trace2vec@k,0.7046
parallel_choices,4000,729,kappa,0.0687
parallel_choices,4000,729,cf_kmeans@k,0.0399
parallel_choices,4000,729,cf_ward@k,0.0353
parallel_choices,4000,729,ctx_kmeans@k,0.057
parallel_choices,4000,729,enabled@k,0.036
parallel_choices,4000,729,trace2vec@k,0.9124
enterprise,250,246,kappa,0.0459
enterprise,250,246,cf_kmeans@k,0.0248
enterprise,250,246,cf_ward@k,0.0081
enterprise,250,246,ctx_kmeans@k,0.0327
enterprise,250,246,enabled@k,0.0218
enterprise,250,246,trace2vec@k,0.3848
enterprise,500,482,kappa,0.0939
enterprise,500,482,cf_kmeans@k,0.0385
enterprise,500,482,cf_ward@k,0.0251
enterprise,500,482,ctx_kmeans@k,0.0778
enterprise,500,482,enabled@k,0.0574
enterprise,500,482,trace2vec@k,0.8513
enterprise,1000,939,kappa,0.2021
enterprise,1000,939,cf_kmeans@k,0.0547
enterprise,1000,939,cf_ward@k,0.0642
enterprise,1000,939,ctx_kmeans@k,0.0845
enterprise,1000,939,enabled@k,0.0569
enterprise,1000,939,trace2vec@k,1.4964
enterprise,2000,1771,kappa,0.3768
enterprise,2000,1771,cf_kmeans@k,0.1075
enterprise,2000,1771,cf_ward@k,0.1846
enterprise,2000,1771,ctx_kmeans@k,0.1453
enterprise,2000,1771,enabled@k,0.0979
enterprise,2000,1771,trace2vec@k,2.2107
enterprise,4000,3189,kappa,0.5438
enterprise,4000,3189,cf_kmeans@k,0.1295
enterprise,4000,3189,cf_ward@k,0.4591
enterprise,4000,3189,ctx_kmeans@k,0.2094
enterprise,4000,3189,enabled@k,0.1307
enterprise,4000,3189,trace2vec@k,3.909
