log,seed,method,ari,n_groups
running_example,0,kappa,1.0,3
running_example,0,cf_kmeans@k,0.17426406844118417,3
running_example,0,cf_ward@k,0.2471779105538191,3
running_example,0,ctx_kmeans@k,0.2399960561249579,3
running_example,0,enabled@k,0.6631925300860888,3
running_example,0,trace2vec@k,0.08196091824588783,3
running_example,1,kappa,1.0,3
running_example,1,cf_kmeans@k,0.1270832114849405,3
running_example,1,cf_ward@k,0.2672773115679744,3
running_example,1,ctx_kmeans@k,0.2672773115679744,3
running_example,1,enabled@k,0.6490997165185166,3
running_example,1,trace2vec@k,0.33078896681182846,3
running_example,2,kappa,1.0,3
running_example,2,cf_kmeans@k,0.12334020307170818,3
running_example,2,cf_ward@k,0.2941732268453526,3
running_example,2,ctx_kmeans@k,0.28609621099288224,3
running_example,2,enabled@k,0.6361024992574782,3
running_example,2,trace2vec@k,0.1205634110925656,3
running_example,3,kappa,1.0,3
running_example,3,cf_kmeans@k,0.18863576994228357,3
running_example,3,cf_ward@k,0.24937323319168764,3
running_example,3,ctx_kmeans@k,0.24937323319168764,3
running_example,3,enabled@k,0.6324163879395066,3
running_example,3,trace2vec@k,0.1190599551498669,3
running_example,4,kappa,1.0,3
running_example,4,cf_kmeans@k,0.11121274358609683,3
running_example,4,cf_ward@k,0.2619582758511256,3
running_example,4,ctx_kmeans@k,0.2619582758511256,3
running_example,4,enabled@k,0.6464127349587072,3
running_example,4,trace2vec@k,0.2265263352019397,3
k_view_k4,0,kappa,1.0,4
k_view_k4,0,cf_kmeans@k,0.4418878868823741,4
k_view_k4,0,cf_ward@k,0.48111473053704457,4
k_view_k4,0,ctx_kmeans@k,0.45104106757127094,4
k_view_k4,0,enabled@k,0.7675534431829578,4
k_view_k4,0,trace2vec@k,0.734934609171248,4
k_view_k4,1,kappa,1.0,4
k_view_k4,1,cf_kmeans@k,0.44104626758326065,4
k_view_k4,1,cf_ward@k,0.5356300044335518,4
k_view_k4,1,ctx_kmeans@k,0.45244580303039306,4
k_view_k4,1,enabled@k,0.7593350999759094,4
k_view_k4,1,trace2vec@k,0.730494443512951,4
k_view_k4,2,kappa,1.0,4
k_view_k4,2,cf_kmeans@k,0.5430258824303742,4
k_view_k4,2,cf_ward@k,0.5152545354826401,4
k_view_k4,2,ctx_kmeans@k,0.6831827311214494,4
k_view_k4,2,enabled@k,0.7675534431829578,4
k_view_k4,2,trace2vec@k,0.7810822909878218,4
k_view_k4,3,kappa,1.0,4
k_view_k4,3,cf_kmeans@k,0.5232269682412743,4
k_view_k4,3,cf_ward@k,0.545415400565576,4
k_view_k4,3,ctx_kmeans@k,0.4518866745168966,4
k_view_k4,3,enabled@k,0.746722197120253,4
k_view_k4,3,trace2vec@k,0.7239189857271261,4
