log,attribute,method,k,n_groups,ari,nmi,purity,sig_per_variant,n_cases,retention,cross_group_variant_overlap,min_group_jaccard
hospital_billing,speciality,global,4,1,0.0,0.0,0.5043,1.3016,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,kappa,4,141,0.8699,0.799,0.9999,1.0,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,kappa_supported,4,9,0.8829,0.8391,0.9934,1.0123,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,kappa_acts,4,14,0.9493,0.9213,0.9999,1.0,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,classical_variants,4,126,0.7443,0.5572,0.7485,1.3016,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,translucent_variants,4,164,0.8691,0.791,0.9999,1.0,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,cf_kmeans@k,4,4,0.6489,0.6096,0.6826,1.3016,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,cf_kmeans@auto,4,2,0.0011,0.0031,0.5055,1.3016,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,cf_ward@k,4,4,0.6081,0.5702,0.6712,1.3016,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,cf_ward@auto,4,2,0.0011,0.0031,0.5055,1.3016,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,ctx_kmeans@k,4,4,0.6726,0.7751,0.8506,1.0123,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,ctx_kmeans@auto,4,3,0.6291,0.6043,0.6745,1.2913,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,enabled@k,4,4,0.944,0.9411,0.9812,1.0123,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,enabled@auto,4,7,0.9282,0.9247,0.9809,1.0,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,trace2vec@k,4,4,0.5305,0.5765,0.6752,1.0719,44766,0.9156,0.9896,0.1414
hospital_billing,speciality,trace2vec@auto,4,5,0.5456,0.6048,0.6845,1.0446,44766,0.9156,0.9896,0.1414
hospital_billing,(control: single global model),kappa,1,200,,,,,48021,0.9822,,
road_traffic,vehicleClass,global,3,1,0.0,0.0,0.9774,1.25,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,kappa,3,44,0.0651,0.2021,1.0,1.0,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,kappa_supported,3,5,0.0494,0.1246,0.9882,1.0833,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,kappa_acts,3,7,0.0435,0.1636,0.9897,1.0317,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,classical_variants,3,52,0.0002,0.026,0.9795,1.25,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,translucent_variants,3,65,0.049,0.1664,1.0,1.0,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,cf_kmeans@k,3,3,-0.0018,0.0109,0.9778,1.25,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,cf_kmeans@auto,3,8,0.0013,0.0298,0.9794,1.25,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,cf_ward@k,3,3,-0.0018,0.0109,0.9778,1.25,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,cf_ward@auto,3,8,0.0032,0.0322,0.9788,1.25,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,ctx_kmeans@k,3,3,0.8733,0.7987,0.9951,1.0156,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,ctx_kmeans@auto,3,2,0.0244,0.0528,0.9774,1.1017,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,enabled@k,3,3,1.0,1.0,1.0,1.0,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,enabled@auto,3,8,0.0761,0.2122,0.9951,1.0156,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,trace2vec@k,3,3,0.9236,0.8101,0.9931,1.0833,121648,0.809,0.9954,0.5429
road_traffic,vehicleClass,trace2vec@auto,3,2,0.9335,0.8317,0.9917,1.1207,121648,0.809,0.9954,0.5429
road_traffic,(control: single global model),kappa,1,29,,,,,121849,0.8103,,
