method,ARI,NMI,purity,enabl.\ sig.,\#mdl,prec.,F1,gen.,simp.,tr.\ fit.,tr.\ prec.,tr.\ F1
attr_all@k,0.636,0.733,0.774,1.038,3.75,0.886,0.938,0.926,0.727,0.928,0.972,0.949
attr_clean@k,0.799,0.867,0.851,1.021,3.75,0.966,0.982,0.941,0.758,0.958,0.994,0.975
attr_noisy@k,0.176,0.218,0.501,1.066,3.75,0.865,0.926,0.931,0.698,0.903,0.979,0.939
attr_oracle@k,1.0,1.0,1.0,1.0,3.75,0.985,0.992,0.94,0.799,0.993,1.0,0.996
cf_kmeans@k,0.238,0.323,0.542,1.265,3.778,0.954,0.976,0.939,0.789,0.907,0.996,0.949
cf_ward@k,0.331,0.446,0.636,1.265,3.778,0.922,0.959,0.937,0.785,0.926,0.995,0.959
classical_variants,0.251,0.4,0.852,1.236,324.667,0.983,0.991,0.768,0.994,0.861,0.997,0.924
ctx_kmeans@k,0.351,0.508,0.645,1.246,3.778,0.904,0.937,0.936,0.793,0.897,0.961,0.927
enabled@k,0.514,0.651,0.733,1.125,3.778,0.86,0.911,0.941,0.801,0.902,0.918,0.908
global,0.0,0.0,0.303,1.236,1.0,0.938,0.964,0.962,0.696,0.891,0.989,0.936
kappa,1.0,1.0,1.0,1.0,3.778,0.969,0.984,0.939,0.815,0.978,0.997,0.987
kappa_supported,1.0,1.0,1.0,1.0,3.778,0.969,0.984,0.939,0.815,0.978,0.997,0.987
trace2vec@k,0.47,0.556,0.689,1.061,3.778,0.827,0.899,0.935,0.752,0.888,0.92,0.903
translucent_variants,0.311,0.522,1.0,1.0,368.111,0.983,0.991,0.738,0.994,0.861,0.997,0.924
